Report generated at: 05270520

shadowrocket_basic.conf: Windows-1254
1blocker.module: UTF-8-SIG
4in1.module: UTF-8-SIG
7dong.module: UTF-8-SIG
absqgs.module: UTF-8-SIG
accu.module: UTF-8-SIG
AdBlock.module: UTF-8-SIG
adguard.module: UTF-8-SIG
adultra.module: utf-8
agenda.module: UTF-8-SIG
ai.module: UTF-8-SIG
alarmy.module: UTF-8-SIG
aliyun.module: UTF-8-SIG
aloha.module: UTF-8-SIG
amj.module: UTF-8-SIG
aosoft.module: UTF-8-SIG
appraven.module: UTF-8-SIG
aptv.module: UTF-8-SIG
aqc.module: UTF-8-SIG
arbc.module: UTF-8-SIG
arpdfbj.module: UTF-8-SIG
artp.module: UTF-8-SIG
audiomack.module: UTF-8-SIG
b612.module: UTF-8-SIG
baiducloud.sgmodule: UTF-8-SIG
baimiao.module: UTF-8-SIG
bazaart.module: UTF-8-SIG
bdsp.module: UTF-8-SIG
bdwk.module: UTF-8-SIG
bedtime-fan.module: UTF-8-SIG
bfs.module: UTF-8-SIG
bili-region.module: UTF-8-SIG
bili.module: UTF-8-SIG
biliad.module: UTF-8-SIG
Bodian.module: UTF-8-SIG
boom.module: UTF-8-SIG
boxjs.sgmodule: UTF-8-SIG
bsxm.module: UTF-8-SIG
caixin.module: UTF-8-SIG
caiyun.module: UTF-8-SIG
caiyun_cron.module: UTF-8-SIG
calculator.module: UTF-8-SIG
calm.module: UTF-8-SIG
camscanner.sgmodule: UTF-8-SIG
cdzs.module: UTF-8-SIG
ceo.module: UTF-8-SIG
chic.module: UTF-8-SIG
clarity.module: UTF-8-SIG
collart.module: UTF-8-SIG
colorweather.module: UTF-8-SIG
colorwidgets.module: UTF-8-SIG
cp.module: UTF-8-SIG
craft.module: UTF-8-SIG
cubox.sgmodule: UTF-8-SIG
cxs.module: UTF-8-SIG
dailyyoga.module: UTF-8-SIG
dalanjing.module: UTF-8-SIG
darkroom.module: UTF-8-SIG
dayone.module: UTF-8-SIG
ddsyxj.module: UTF-8-SIG
doc.module: UTF-8-SIG
documents.module: UTF-8-SIG
douban.sgmodule: UTF-8-SIG
drafts.module: UTF-8-SIG
dsbj.module: UTF-8-SIG
dsj.module: UTF-8-SIG
duitang.module: UTF-8-SIG
dyd.module: UTF-8-SIG
dzqj.module: UTF-8-SIG
efekt.module: UTF-8-SIG
egdd.module: UTF-8-SIG
ego.module: UTF-8-SIG
ellabook.module: UTF-8-SIG
emby.sgmodule: UTF-8-SIG
emmo.module: UTF-8-SIG
emote.module: UTF-8-SIG
endel.module: UTF-8-SIG
fabulous.module: UTF-8-SIG
faintv.module: UTF-8-SIG
fanqie.module: UTF-8-SIG
fantastical.module: UTF-8-SIG
fileball.module: UTF-8-SIG
fimo.module: UTF-8-SIG
flomo.module: UTF-8-SIG
fnv.module: UTF-8-SIG
fomz.module: UTF-8-SIG
ft.module: UTF-8-SIG
fyjh.module: UTF-8-SIG
gddt.module: UTF-8-SIG
gql.module: UTF-8-SIG
grammarly.module: UTF-8-SIG
grow.module: UTF-8-SIG
gscdq.module: UTF-8-SIG
gzrj.module: UTF-8-SIG
hbetgs.module: UTF-8-SIG
hbgc.module: UTF-8-SIG
hbxw.module: UTF-8-SIG
HistoryPrice.sgmodule: UTF-8-SIG
hsfs.module: UTF-8-SIG
htjzb.module: UTF-8-SIG
https.module: UTF-8-SIG
hx.module: UTF-8-SIG
hyperweb.module: UTF-8-SIG
hyxc.module: UTF-8-SIG
hyxj.module: UTF-8-SIG
hyzm.module: UTF-8-SIG
hzk.module: UTF-8-SIG
iconkiller.module: UTF-8-SIG
ilovepdf.module: UTF-8-SIG
imuseum.module: UTF-8-SIG
invideo.module: UTF-8-SIG
iscreen.module: UTF-8-SIG
jianxun.module: UTF-8-SIG
jibjab.module: UTF-8-SIG
jjyc.module: UTF-8-SIG
jkyd.module: UTF-8-SIG
jsgx.module: UTF-8-SIG
jssmy.module: UTF-8-SIG
judou.module: UTF-8-SIG
keep.module: UTF-8-SIG
kepai.module: UTF-8-SIG
kika.module: UTF-8-SIG
klx.module: UTF-8-SIG
kprj.module: UTF-8-SIG
kuwo-unlock.sgmodule: UTF-8-SIG
kuwovip.sgmodule: UTF-8-SIG
ky.module: UTF-8-SIG
lgzj.module: UTF-8-SIG
lifeindex.module: UTF-8-SIG
lifeviewer.module: UTF-8-SIG
lightroom.module: UTF-8-SIG
lingokids.module: UTF-8-SIG
ljtq.module: UTF-8-SIG
lls.module: UTF-8-SIG
lsdyw.module: UTF-8-SIG
ly.module: UTF-8-SIG
mbdt.module: UTF-8-SIG
mdmanhua.module: UTF-8-SIG
mdsz.module: UTF-8-SIG
meipian.module: UTF-8-SIG
meistertask.module: UTF-8-SIG
meituxx.module: UTF-8-SIG
memrise.module: UTF-8-SIG
mht.module: UTF-8-SIG
mix-camera.module: UTF-8-SIG
mklwt.module: UTF-8-SIG
mksp.module: UTF-8-SIG
mojo.module: UTF-8-SIG
molycam.module: UTF-8-SIG
mondly.module: UTF-8-SIG
moneythings.module: UTF-8-SIG
motivation.module: UTF-8-SIG
mtywj.module: UTF-8-SIG
multisearch.module: UTF-8-SIG
musixmatch.module: UTF-8-SIG
myfitnesspal.module: UTF-8-SIG
myplate.module: UTF-8-SIG
netflix_rating.sgmodule: UTF-8-SIG
nfc.module: UTF-8-SIG
nicegram.module: UTF-8-SIG
nomocam.module: UTF-8-SIG
notability.module: UTF-8-SIG
notboring.module: UTF-8-SIG
now.module: UTF-8-SIG
nt.module: UTF-8-SIG
nybz.module: UTF-8-SIG
oil.module: UTF-8-SIG
oldroll.module: UTF-8-SIG
panda.module: UTF-8-SIG
pandora.module: UTF-8-SIG
pdfviewer.module: UTF-8-SIG
peak.module: UTF-8-SIG
peiyin.module: UTF-8-SIG
peiyinxiu.module: UTF-8-SIG
percento.module: UTF-8-SIG
photomath.module: UTF-8-SIG
photoshop.module: UTF-8-SIG
piccollage.module: UTF-8-SIG
picsart.module: UTF-8-SIG
pillow.module: UTF-8-SIG
pixelance.module: UTF-8-SIG
pixelcut.module: UTF-8-SIG
planny.module: UTF-8-SIG
pocketlists.module: UTF-8-SIG
polarr.module: UTF-8-SIG
ppx.module: UTF-8-SIG
prettyup.module: UTF-8-SIG
proknockout.module: UTF-8-SIG
ptj.module: UTF-8-SIG
qifu.module: UTF-8-SIG
qj.module: UTF-8-SIG
qmxs.module: UTF-8-SIG
qnhb.module: UTF-8-SIG
Qsearch.sgmodule: UTF-8-SIG
relens.module: UTF-8-SIG
retake.module: UTF-8-SIG
rmrb.module: UTF-8-SIG
rq.module: UTF-8-SIG
rrsp.module: UTF-8-SIG
rzxj.module: UTF-8-SIG
sc.module: UTF-8-SIG
seven.module: UTF-8-SIG
sgsz.module: UTF-8-SIG
shadowlinkVPN.module: UTF-8-SIG
sjsmy.module: UTF-8-SIG
smallpdf.module: UTF-8-SIG
smbq.module: UTF-8-SIG
smwd.module: UTF-8-SIG
smxcgj.module: UTF-8-SIG
sndd.module: UTF-8-SIG
sorted.module: UTF-8-SIG
soundcloud.module: UTF-8-SIG
spotifyVIP.module: UTF-8-SIG
spotify_lyric.module: UTF-8-SIG
ssa.module: UTF-8-SIG
startingad.module: utf-8
stsq.module: UTF-8-SIG
styleart.module: UTF-8-SIG
substore.sgmodule: UTF-8-SIG
symbolab.module: UTF-8-SIG
tangerine.module: UTF-8-SIG
tenpercent.module: UTF-8-SIG
thunder.module: UTF-8-SIG
tianqi.module: UTF-8-SIG
TidalPlus.sgmodule: UTF-8-SIG
todo.module: UTF-8-SIG
tokcam.module: UTF-8-SIG
tpp.module: UTF-8-SIG
ttd.module: UTF-8-SIG
tutu.module: UTF-8-SIG
usage.module: UTF-8-SIG
varlens.module: UTF-8-SIG
vcus.module: UTF-8-SIG
vista.module: UTF-8-SIG
vivacut.module: UTF-8-SIG
vsco.module: UTF-8-SIG
wallcraft.module: UTF-8-SIG
watchout.module: UTF-8-SIG
wdfq.module: UTF-8-SIG
wdqd.module: UTF-8-SIG
wechatad.module: UTF-8-SIG
wechatread.module: UTF-8-SIG
weiboad.module: UTF-8-SIG
WeiboBlock.sgmodule: UTF-8-SIG
weibolitead.module: UTF-8-SIG
wfw.module: UTF-8-SIG
whqsy.module: UTF-8-SIG
widgetsmith.module: UTF-8-SIG
wnbsq.module: UTF-8-SIG
wnds.module: UTF-8-SIG
WPS.module: UTF-8-SIG
wps.sgmodule: UTF-8-SIG
wscsds.module: UTF-8-SIG
wsgj.module: UTF-8-SIG
wxds.module: UTF-8-SIG
wxts.module: UTF-8-SIG
xcz.module: UTF-8-SIG
xiaoying.module: UTF-8-SIG
xjsp.module: UTF-8-SIG
xmind.module: UTF-8-SIG
xmlyad.module: UTF-8-SIG
xrk.module: UTF-8-SIG
xxg.module: UTF-8-SIG
xxyq.module: UTF-8-SIG
xyts.module: UTF-8-SIG
xzj.module: UTF-8-SIG
xzjhz.module: UTF-8-SIG
yczjz.module: UTF-8-SIG
ydcd.module: UTF-8-SIG
ydybj.module: UTF-8-SIG
yifeigif.module: UTF-8-SIG
yitian.module: UTF-8-SIG
yiyan.module: UTF-8-SIG
yjhl.module: UTF-8-SIG
ymjz.module: UTF-8-SIG
youtubead.module: UTF-8-SIG
YouTubeAd.sgmodule: UTF-8-SIG
ypjj.module: UTF-8-SIG
ysyk.module: UTF-8-SIG
yunting.module: UTF-8-SIG
ywqpy.module: UTF-8-SIG
zebra.module: UTF-8-SIG
ZhihuBlock.sgmodule: UTF-8-SIG
ZhihuOpt.sgmodule: UTF-8-SIG
zhitiao.module: UTF-8-SIG
zhsck.module: UTF-8-SIG
zjbj.module: UTF-8-SIG
zjsg.module: UTF-8-SIG
zt.module: UTF-8-SIG
ztc.module: UTF-8-SIG
zymk.module: UTF-8-SIG
1blocker.plugin: UTF-8-SIG
4in1.plugin: UTF-8-SIG
7dong.plugin: UTF-8-SIG
absqgs.plugin: UTF-8-SIG
accu.plugin: UTF-8-SIG
AdBlock.plugin: UTF-8-SIG
adguard.plugin: UTF-8-SIG
adultra.plugin: utf-8
agenda.plugin: UTF-8-SIG
ai.plugin: UTF-8-SIG
alarmy.plugin: UTF-8-SIG
aliyun.plugin: UTF-8-SIG
aloha.plugin: UTF-8-SIG
amj.plugin: UTF-8-SIG
apowersoft.plugin: UTF-8-SIG
appraven.plugin: UTF-8-SIG
aptv.plugin: UTF-8-SIG
aqc.plugin: UTF-8-SIG
arbc.plugin: UTF-8-SIG
arpdfbj.plugin: UTF-8-SIG
artp.plugin: UTF-8-SIG
audiomack.plugin: UTF-8-SIG
B-Search.plugin: UTF-8-SIG
b612.plugin: UTF-8-SIG
BaiduCloud.plugin: UTF-8-SIG
baimiao.plugin: UTF-8-SIG
bazaart.plugin: UTF-8-SIG
bdsp.plugin: UTF-8-SIG
bdwk.plugin: UTF-8-SIG
BedtimeFan.plugin: UTF-8-SIG
bfs.plugin: UTF-8-SIG
bili.plugin: UTF-8-SIG
biliad.plugin: UTF-8-SIG
Bodian.plugin: UTF-8-SIG
boom.plugin: UTF-8-SIG
bsxm.plugin: UTF-8-SIG
caixin.plugin: UTF-8-SIG
caiyun.plugin: UTF-8-SIG
calculator.plugin: UTF-8-SIG
calm.plugin: UTF-8-SIG
CamScanner.plugin: UTF-8-SIG
cdzs.plugin: UTF-8-SIG
ceo.plugin: UTF-8-SIG
chic.plugin: UTF-8-SIG
clarity.plugin: UTF-8-SIG
collart.plugin: UTF-8-SIG
colorweather.plugin: UTF-8-SIG
colorwidgets.plugin: UTF-8-SIG
cp.plugin: UTF-8-SIG
craft.plugin: UTF-8-SIG
cubox.plugin: UTF-8-SIG
cxs.plugin: UTF-8-SIG
daily-yoga.plugin: UTF-8-SIG
dalanjing.plugin: UTF-8-SIG
darkroom.plugin: UTF-8-SIG
dayone.plugin: UTF-8-SIG
ddsyxj.plugin: UTF-8-SIG
DisableUpdate.plugin: UTF-8-SIG
doc.plugin: UTF-8-SIG
documents.plugin: UTF-8-SIG
drafts.plugin: UTF-8-SIG
dsbj.plugin: UTF-8-SIG
dsj.plugin: UTF-8-SIG
duitang.plugin: UTF-8-SIG
dyd.plugin: UTF-8-SIG
dzqj.plugin: UTF-8-SIG
efekt.plugin: UTF-8-SIG
egdd.plugin: UTF-8-SIG
ego.plugin: UTF-8-SIG
ellabook.plugin: UTF-8-SIG
Emby.plugin: UTF-8-SIG
emmo.plugin: UTF-8-SIG
emote.plugin: UTF-8-SIG
endel.plugin: UTF-8-SIG
fabulous.plugin: UTF-8-SIG
faintv.plugin: UTF-8-SIG
fanqienovel.plugin: UTF-8-SIG
fantastical.plugin: UTF-8-SIG
fileball.plugin: UTF-8-SIG
fimo.plugin: UTF-8-SIG
flomo.plugin: UTF-8-SIG
fnv.plugin: UTF-8-SIG
fomz.plugin: UTF-8-SIG
ft.plugin: UTF-8-SIG
fyjh.plugin: UTF-8-SIG
gddt.plugin: UTF-8-SIG
GeoLocation.plugin: UTF-8-SIG
giftr.plugin: UTF-8-SIG
gql.plugin: UTF-8-SIG
grammarly.plugin: UTF-8-SIG
grow.plugin: UTF-8-SIG
gscdq.plugin: UTF-8-SIG
gzrj.plugin: UTF-8-SIG
hbetgs.plugin: UTF-8-SIG
hbgc.plugin: UTF-8-SIG
hbxw.plugin: UTF-8-SIG
hsfs.plugin: UTF-8-SIG
htjzb.plugin: UTF-8-SIG
https.plugin: UTF-8-SIG
hx.plugin: UTF-8-SIG
hyperweb.plugin: UTF-8-SIG
hyxc.plugin: UTF-8-SIG
hyxj.plugin: UTF-8-SIG
hyzm.plugin: UTF-8-SIG
hzk.plugin: UTF-8-SIG
iam.plugin: UTF-8-SIG
iconkiller.plugin: UTF-8-SIG
ilovepdf.plugin: UTF-8-SIG
imuseum.plugin: UTF-8-SIG
invideo.plugin: UTF-8-SIG
iRingo_TestFlight.plugin: UTF-8-SIG
iscreen.plugin: UTF-8-SIG
jianxun.plugin: UTF-8-SIG
jibjab.plugin: UTF-8-SIG
jjyc.plugin: UTF-8-SIG
jkyd.plugin: UTF-8-SIG
jsgx.plugin: UTF-8-SIG
jssmy.plugin: UTF-8-SIG
judou.plugin: UTF-8-SIG
keep.plugin: UTF-8-SIG
kepai.plugin: UTF-8-SIG
kika.plugin: UTF-8-SIG
klx.plugin: UTF-8-SIG
kprj.plugin: UTF-8-SIG
kuwo-unlock.plugin: UTF-8-SIG
KuwoVip.plugin: UTF-8-SIG
ky.plugin: UTF-8-SIG
lgzj.plugin: UTF-8-SIG
lifeindex.plugin: UTF-8-SIG
lifeviewer.plugin: UTF-8-SIG
lightroom.plugin: UTF-8-SIG
lingokids.plugin: UTF-8-SIG
ljtq.plugin: UTF-8-SIG
lls.plugin: UTF-8-SIG
lsdyw.plugin: UTF-8-SIG
ly.plugin: UTF-8-SIG
mbdt.plugin: UTF-8-SIG
mdmanhua.plugin: UTF-8-SIG
mdsz.plugin: UTF-8-SIG
MediaChecker.plugin: UTF-8-SIG
meipian.plugin: UTF-8-SIG
meistertask.plugin: UTF-8-SIG
meituxx.plugin: UTF-8-SIG
memrise.plugin: UTF-8-SIG
mht.plugin: UTF-8-SIG
mix.plugin: UTF-8-SIG
mklwt.plugin: UTF-8-SIG
mksp.plugin: UTF-8-SIG
ModeSwitcher.plugin: UTF-8-SIG
mojo.plugin: UTF-8-SIG
molycam.plugin: UTF-8-SIG
mondly.plugin: UTF-8-SIG
moneythings.plugin: UTF-8-SIG
motivation.plugin: UTF-8-SIG
mtywj.plugin: UTF-8-SIG
multisearch.plugin: UTF-8-SIG
musixmatch.plugin: UTF-8-SIG
myfitnesspal.plugin: UTF-8-SIG
myplate.plugin: UTF-8-SIG
nfc.plugin: UTF-8-SIG
nicegram.plugin: UTF-8-SIG
NodeLinkCheck.plugin: UTF-8-SIG
NoMoCam.plugin: UTF-8-SIG
notability.plugin: UTF-8-SIG
notboring.plugin: UTF-8-SIG
now.plugin: UTF-8-SIG
nt.plugin: UTF-8-SIG
nybz.plugin: UTF-8-SIG
oldroll.plugin: UTF-8-SIG
panda.plugin: UTF-8-SIG
pandora.plugin: UTF-8-SIG
pdfviewer.plugin: UTF-8-SIG
peak.plugin: UTF-8-SIG
peiyin.plugin: UTF-8-SIG
peiyinxiu.plugin: UTF-8-SIG
percento.plugin: UTF-8-SIG
photomath.plugin: UTF-8-SIG
photoshop.plugin: UTF-8-SIG
piccollage.plugin: UTF-8-SIG
picsart.plugin: UTF-8-SIG
pillow.plugin: UTF-8-SIG
pixelance.plugin: UTF-8-SIG
pixelcut.plugin: UTF-8-SIG
pixiv.plugin: UTF-8-SIG
planny.plugin: UTF-8-SIG
Plugallery.plugin: UTF-8-SIG
pocketlists.plugin: UTF-8-SIG
polarr.plugin: UTF-8-SIG
ppx.plugin: UTF-8-SIG
prettyup.plugin: UTF-8-SIG
Price.plugin: UTF-8-SIG
proknockout.plugin: UTF-8-SIG
ptj.plugin: UTF-8-SIG
qifu.plugin: UTF-8-SIG
qj.plugin: UTF-8-SIG
qmxs.plugin: UTF-8-SIG
qnhb.plugin: UTF-8-SIG
Ratings.plugin: UTF-8-SIG
relens.plugin: UTF-8-SIG
retake.plugin: UTF-8-SIG
rmrb.plugin: UTF-8-SIG
rq.plugin: UTF-8-SIG
rrsp.plugin: UTF-8-SIG
Running-Mode.plugin: UTF-8-SIG
rzxj.plugin: UTF-8-SIG
sc.plugin: UTF-8-SIG
seven.plugin: UTF-8-SIG
sgsz.plugin: UTF-8-SIG
shadowlinkvpn.plugin: UTF-8-SIG
sjsmy.plugin: UTF-8-SIG
smallpdf.plugin: UTF-8-SIG
smbq.plugin: UTF-8-SIG
smwd.plugin: UTF-8-SIG
smxcgj.plugin: UTF-8-SIG
sndd.plugin: UTF-8-SIG
sorted.plugin: UTF-8-SIG
soundcloud.plugin: UTF-8-SIG
SpotifyPremium.plugin: UTF-8-SIG
ssa.plugin: UTF-8-SIG
startingad.plugin: utf-8
stsq.plugin: UTF-8-SIG
styleart.plugin: UTF-8-SIG
symbolab.plugin: UTF-8-SIG
tangerine.plugin: UTF-8-SIG
tenpercent.plugin: UTF-8-SIG
thunder.plugin: UTF-8-SIG
Tidal-HiFi.plugin: UTF-8-SIG
todo.plugin: UTF-8-SIG
tokcam.plugin: UTF-8-SIG
tpp.plugin: UTF-8-SIG
ttd.plugin: UTF-8-SIG
tutu.plugin: UTF-8-SIG
usage.plugin: UTF-8-SIG
